"Year","Reindeer_Total","sa_temp_min","sa_temp_max","prec","lynx","wolverine","carcass_weight","avg_price","sami_pop","higher_ed","basic_school","permit_to_build","underconstruction","radio","computer","internet","greenhouse_gases_emitted","ag_area_decares_finnmark"
2000,155907,-3.77,4.46,609.19,6.5,10,23.45,35.7281455618768,59972,40.1,11.2,228,2571,57,25,27,55003,169.5
2001,188964,-5.2,3.66,622.38,6.5,2,26.2625,39.1527755792955,59664,40.6,9.2,250,2717,56,33,35,56248,184.1
2002,210992,-5.3,3.85,547.62,8,4,28.62307692,34.942378005496,59180,41.3,8.4,144,3924,58,31,35,54935,202.0
2003,243864,-4.69,4.44,570.93,10,3,27.8,26.4788924959386,58897,42.9,9.5,270,3221,58,36,42,55543,218.0
2004,249378,-4.38,4.51,579.67,3,3,26.51428571,21.9075273584252,58280,43.9,10.3,273,3725,58,36,44,55908,228.1
2005,251282,-3.97,4.87,669.02,3.5,11,24.97857143,28.0989245209214,57867,44.9,10.5,483,3181,55,47,55,54787,232.1
2006,262226,-4.21,4.47,562.71,5.5,8,24.65,42.3858992573725,57513,46.8,11.2,489,4112,54,51,60,54760,244.9
2007,277586,-4.08,4.66,648.26,12,7,25.38461538,50.1034956277443,56915,47.5,11.8,358,5595,53,56,66,56450,251.0
2008,268639,-4.59,4,575.61,9,6,23.45384615,51.0588675908388,56520,46.6,12,267,5610,54,59,71,54927,251.1
2009,276284,-4.75,4.09,513.54,9,7,25.1,52.4741966472927,56142,46,12.2,186,4017,53,65,73,52436,264.0
2010,272523,-5.85,3.15,634.77,15,10,23.4,53.5632659709662,55934,46.3,11.8,415,415,56,68,77,54732,255.6
2011,274969,-3.4,5.08,636.5,11.5,4,21.44444444,51.5799705321901,55635,45.8,11.2,273,6314,55,70,80,53798,270.6
2012,256095,-5.18,3.53,625.62,13,9,24,49.861427196272,55631,45.5,11.9,368,6107,60,70,80,53166,281.0
2013,234044,-4.34,5.38,561.49,10,1,27.7,52.8460792971598,55652,45.6,11.6,299,5638,59,75,85,53407,285.1
2014,211227,-4.07,4.56,536.42,5.5,8,21.7,57.1183105060107,55619,42.9,12.6,353,6972,64,75,88,53806,286.9
